# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "exon" "-g" "gene_id" "-a" "/data/yuyuan/rna_my/lettuce_v11/Lsat_Salinas_v11.genome.gtf" "-o" "4_quantification/gene_counts.txt" "3_bam/Bud_rep1.sorted.bam" "3_bam/Bud_rep2.sorted.bam" "3_bam/Bud_rep3.sorted.bam" "3_bam/cot_rep1.sorted.bam" "3_bam/cot_rep2.sorted.bam" "3_bam/cot_rep3.sorted.bam" "3_bam/F1_rep1.sorted.bam" "3_bam/F2_rep1.sorted.bam" "3_bam/L_rep1.sorted.bam" "3_bam/L_rep2.sorted.bam" "3_bam/L_rep3.sorted.bam" "3_bam/n_rep1.sorted.bam" "3_bam/n_rep2.sorted.bam" "3_bam/n_rep3.sorted.bam" "3_bam/O_rep1.sorted.bam" "3_bam/O_rep2.sorted.bam" "3_bam/O_rep3.sorted.bam" "3_bam/R_rep1.sorted.bam" "3_bam/R_rep2.sorted.bam" "3_bam/R_rep3.sorted.bam" "3_bam/S_rep1.sorted.bam" "3_bam/S_rep2.sorted.bam" "3_bam/S_rep3.sorted.bam" "3_bam/stem_rep1.sorted.bam" "3_bam/stem_rep2.sorted.bam" "3_bam/stem_rep3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	3_bam/Bud_rep1.sorted.bam	3_bam/Bud_rep2.sorted.bam	3_bam/Bud_rep3.sorted.bam	3_bam/cot_rep1.sorted.bam	3_bam/cot_rep2.sorted.bam	3_bam/cot_rep3.sorted.bam	3_bam/F1_rep1.sorted.bam	3_bam/F2_rep1.sorted.bam	3_bam/L_rep1.sorted.bam	3_bam/L_rep2.sorted.bam	3_bam/L_rep3.sorted.bam	3_bam/n_rep1.sorted.bam	3_bam/n_rep2.sorted.bam	3_bam/n_rep3.sorted.bam	3_bam/O_rep1.sorted.bam	3_bam/O_rep2.sorted.bam	3_bam/O_rep3.sorted.bam	3_bam/R_rep1.sorted.bam	3_bam/R_rep2.sorted.bam	3_bam/R_rep3.sorted.bam	3_bam/S_rep1.sorted.bam	3_bam/S_rep2.sorted.bam	3_bam/S_rep3.sorted.bam	3_bam/stem_rep1.sorted.bam	3_bam/stem_rep2.sorted.bam	3_bam/stem_rep3.sorted.bam
LOC128131457	Lsat_v11_chr1	451438	451544	-	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111905261	Lsat_v11_chr1	509232	510087	-	856	313	298	323	1799	4099	6419	312	86	253	656	194	324	274	234	843	915	650	1794	1932	1230	1222	1010	569	1446	1176	1525
TRNAN-GUU	Lsat_v11_chr1	510767	510838	+	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAR-ACG	Lsat_v11_chr1	511302	511375	-	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111905263	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	521433;527356;527539;527715;527847;527977;528149;528315	521441;527416;527656;527780;527894;528076;528236;528637	-;-;-;-;-;-;-;-	813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111912941	Lsat_v11_chr1	552217	552323	+	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111894735	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	658471;658791;659312;659693;659830;660019;660301;660512;661191;661463;661804	658697;658934;659603;659756;659943;660181;660439;661065;661372;661723;662338	+;+;+;+;+;+;+;+;+;+;+	2675	72	34	64	30	49	36	40	38	402	37	13	27	18	14	20	27	25	71	71	383	49	45	28	40	29	21
LOC111894758	Lsat_v11_chr1	818008	818114	+	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111894694	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	849324;849324;849324;849324;849790;849790;849790;849790;850211;850211;850211;850211;850400;850400;850400;850400;850542;850542;850542;850542;851142;851142;851142;851142;851299;851299;851299;851299;851424;851424;851424;851424;851620;851620;851620;851620;851807;851807;851807;851807;851933;851933;851933;851933;852103;852103;852103;852103;852263;852263;852263;852263;852469;852469;852469;852469;852604;852604;852604;852604;852767;852767;852767;852767;852922;852922;852922;852922;853064;853064;853064;853064;853243;853243;853243;853243;853395;853395;853395;853395;853767;853767;853767;853767;853907;853907;853907;853907;854053;854053;854053;854053;854254;854254;854254;854254;854449;854449;854449;854449;854679;854679;854679;854679;854965;854965;854965;854965;856060;856060;856060;856060	849673;849673;849673;849673;850101;850101;850101;850101;850313;850313;850313;850313;850464;850464;850464;850464;850649;850649;850649;850649;851231;851231;851231;851231;851346;851346;851346;851346;851522;851522;851522;851522;851736;851736;851736;851736;851860;851860;851860;851860;852025;852025;852025;852025;852183;852183;852183;852183;852368;852368;852368;852368;852503;852503;852503;852503;852690;852690;852690;852690;852844;852844;852844;852844;852990;852990;852990;852990;853162;853162;853162;853162;853312;853312;853312;853312;853654;853654;853654;853654;853824;853824;853824;853824;853959;853959;853959;853959;854122;854122;854122;854122;854333;854330;854333;854330;854595;854595;854556;854556;854885;854885;854885;854885;855030;855030;855030;855030;856320;856320;856320;856320	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3266	3482	3091	3464	1430	1920	2180	1210	1930	1517	997	533	1493	1142	900	1633	1537	1454	2193	1598	2838	2146	2572	1945	1565	1449	1289
LOC111894755	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	879207;880457;880653	880366;880514;880919	+;+;+	1485	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0
LOC111894719	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	892257;893637;894039;894429;894611	893334;893945;894329;894542;895350	+;+;+;+;+	2532	3652	3110	3574	1033	1227	871	1281	1264	2654	524	1185	184	151	155	126	50	80	3174	3056	3104	4152	4438	7252	1142	1000	1147
LOC111894504	Lsat_v11_chr1	922409	922515	-	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC128132014	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	949599;949817;949988;950237;950369;950590;950741;950908;951025;951306	949685;949876;950173;950296;950547;950659;950805;950944;951219;951425	-;-;-;-;-;-;-;-;-;-	1059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111894709	Lsat_v11_chr1	965884	966228	-	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111894727	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	986727;986727;986727;986727;986727;987411;987411;987411;987411;987411;987699;987699;987699;987699;987699;987920;987920;987920;987920;987920;988096;988096;988096;988096;988096;988247;988247;988247;988247;988247;988390;988390;988390;988390;988390;988704;988704;988704;988809;988809;989477	987322;987322;987322;987322;987322;987492;987492;987492;987492;987492;987836;987836;987836;987830;987830;987991;987991;987991;987991;987991;988164;988164;988164;988164;988164;988312;988312;988312;988312;988312;988608;988608;988608;988608;988608;990205;989031;990207;990206;990208;990205	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2747	2520	2691	2423	379	385	384	773	672	912	377	389	504	454	617	727	424	421	1509	1604	1467	1423	1401	1625	1170	877	1134
LOC111894745	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	1017621;1018021;1018193;1018597	1017948;1018107;1018388;1018997	-;-;-;-	1012	989	812	796	240	300	214	534	320	513	207	321	311	442	287	308	315	335	472	425	374	294	305	271	158	243	198
LOC111894747	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	1071753;1072447;1075171;1075361;1075601;1075853;1076235;1076585;1076848;1077612	1072036;1072559;1075266;1075477;1075699;1075984;1076411;1076756;1076912;1077767	-;-;-;-;-;-;-;-;-;-	1411	46	12	2	310	713	3403	159	248	62	1138	34	75	46	4	583	2622	1981	1593	617	3275	222	235	40	1555	2081	709
LOC111894738	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	1152418;1153419;1153691;1153859;1154290;1154546;1154675;1154902;1155094	1152819;1153486;1153761;1154208;1154345;1154598;1154816;1154999;1155570	+;+;+;+;+;+;+;+;+	1717	316	238	251	625	1998	1545	362	200	499	2955	1311	294	246	245	497	1046	986	1694	1457	2593	1184	913	2692	774	988	671
LOC111894708	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	1156948;1156948;1156948;1157429;1157429;1157429;1157628;1157628;1157628;1157762;1157762;1157762;1158022;1158022;1158022;1158212;1158212;1158212;1158400;1158400;1158400;1158868;1159131;1159131;1159131;1159366;1159366;1159366;1160071;1160071	1157327;1157327;1157327;1157513;1157513;1157513;1157683;1157683;1157683;1157950;1157950;1157950;1158129;1158129;1158129;1158304;1158304;1158319;1158523;1158523;1158523;1158947;1159163;1159163;1159163;1159447;1159447;1159447;1160550;1160551	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1726	635	556	618	995	1225	1049	14192	13062	1950	1519	2719	852	665	706	1195	1424	1366	2252	2585	2267	791	888	2329	731	914	853
LOC111894757	Lsat_v11_chr1	1168804	1168910	+	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111894692	Lsat_v11_chr1;Lsat_v11_chr1	1189474;1192084	1191469;1192238	-;-	2151	1275	1245	1092	691	774	846	961	1236	613	847	424	716	532	483	622	698	961	994	742	1019	1046	1148	1126	1208	1536	1378
LOC111894713	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	1223294;1223736;1224080;1225031	1223546;1223968;1224293;1225398	+;+;+;+	1068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111894701	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	1305519;1308363;1309159;1309305;1310187	1306341;1309084;1309222;1309348;1310607	+;+;+;+;+	2074	3344	3264	4311	4339	5498	7065	5694	4577	2976	4224	2397	4935	3275	2803	8176	5110	6719	9579	8088	10829	10242	11588	11053	11788	11839	10910
LOC111894748	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	1539638;1539806;1540461;1540472	1539962;1539962;1542209;1542209	+;+;+;+	2074	175	179	285	40	70	116	11	2	1	0	7	0	0	22	0	0	0	2	2	12	38	42	65	24	22	12
LOC111894739	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	1602683;1602683;1602683;1603058;1603274;1603274;1603274;1603274;1603479;1603479;1603479;1603479;1603738;1603738;1603738;1603738;1603897;1603897;1603897;1603897;1604063;1604063;1604063;1604063;1604289;1604289;1604289;1604289;1604488;1604488;1604488;1604488;1604711;1604711;1604711;1604711;1604874;1604874;1604874;1604874;1605073;1605073;1605073;1605073;1605215;1605215;1605215;1605215;1605430;1605430;1605430;1605430;1605671;1605671;1605671;1605671;1605798;1605798;1605798;1605798;1606135;1606135;1606135;1606135;1606376;1606376;1606376;1606376;1607592;1607592;1607592;1607592;1608253;1608253;1608253;1608253;1608783;1608783;1608783;1608783;1608987;1608987;1608987;1608987;1610309;1611185;1611185;1611185;1611185;1611185;1611448;1611448;1611448;1611448;1611448;1611630;1611630;1611630;1611630;1611630;1612331;1612331;1612331;1612331;1612331;1613472;1613472;1613472;1613472;1613472	1603155;1603155;1603155;1603193;1603377;1603377;1603377;1603377;1603562;1603562;1603562;1603562;1603782;1603782;1603782;1603782;1603968;1603968;1603968;1603968;1604143;1604143;1604143;1604143;1604384;1604384;1604384;1604384;1604610;1604610;1604610;1604610;1604794;1604794;1604794;1604794;1604984;1604984;1604984;1604984;1605135;1605135;1605135;1605135;1605346;1605340;1605346;1605346;1605582;1605582;1605582;1605582;1605718;1605718;1605718;1605718;1606037;1606037;1606037;1606037;1606245;1606245;1606245;1606245;1606444;1606444;1606444;1606444;1608179;1608179;1608179;1608179;1608711;1608711;1608711;1608711;1608902;1608902;1608902;1608902;1609158;1609158;1609158;1609158;1610589;1611356;1611356;1611356;1611353;1611356;1611547;1611547;1611547;1611547;1611547;1611722;1611722;1611722;1611722;1611722;1612490;1612490;1612490;1612490;1612490;1613875;1613872;1613870;1613870;1613871	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4676	2669	2588	2335	809	1182	1732	1129	1715	1200	921	429	880	742	695	922	950	1255	1637	1386	2146	1225	1746	1238	1136	1160	1267
