"ENSEMBL","Symbol","Description"
"ENSG00000100","Gene100","Demo gene"
"ENSG00000101","Gene101","Demo gene"
"ENSG00000102","Gene102","Demo gene"
"ENSG00000103","Gene103","Demo gene"
"ENSG00000104","Gene104","Demo gene"
"ENSG00000105","Gene105","Demo gene"
"ENSG00000106","Gene106","Demo gene"
"ENSG00000107","Gene107","Demo gene"
"ENSG00000108","Gene108","Demo gene"
"ENSG00000109","Gene109","Demo gene"
"ENSG00000110","Gene110","Demo gene"
"ENSG00000111","Gene111","Demo gene"
"ENSG00000112","Gene112","Demo gene"
"ENSG00000113","Gene113","Demo gene"
"ENSG00000114","Gene114","Demo gene"
"ENSG00000115","Gene115","Demo gene"
"ENSG00000116","Gene116","Demo gene"
"ENSG00000117","Gene117","Demo gene"
"ENSG00000118","Gene118","Demo gene"
"ENSG00000119","Gene119","Demo gene"
"ENSG00000120","Gene120","Demo gene"
"ENSG00000121","Gene121","Demo gene"
"ENSG00000122","Gene122","Demo gene"
"ENSG00000123","Gene123","Demo gene"
"ENSG00000124","Gene124","Demo gene"
"ENSG00000125","Gene125","Demo gene"
"ENSG00000126","Gene126","Demo gene"
"ENSG00000127","Gene127","Demo gene"
"ENSG00000128","Gene128","Demo gene"
"ENSG00000129","Gene129","Demo gene"
"ENSG00000130","Gene130","Demo gene"
"ENSG00000131","Gene131","Demo gene"
"ENSG00000132","Gene132","Demo gene"
"ENSG00000133","Gene133","Demo gene"
"ENSG00000134","Gene134","Demo gene"
"ENSG00000135","Gene135","Demo gene"
"ENSG00000136","Gene136","Demo gene"
"ENSG00000137","Gene137","Demo gene"
"ENSG00000138","Gene138","Demo gene"
"ENSG00000139","Gene139","Demo gene"
"ENSG00000140","Gene140","Demo gene"
"ENSG00000141","Gene141","Demo gene"
"ENSG00000142","Gene142","Demo gene"
"ENSG00000143","Gene143","Demo gene"
"ENSG00000144","Gene144","Demo gene"
"ENSG00000145","Gene145","Demo gene"
"ENSG00000146","Gene146","Demo gene"
"ENSG00000147","Gene147","Demo gene"
"ENSG00000148","Gene148","Demo gene"
"ENSG00000149","Gene149","Demo gene"
"ENSG00000150","Gene150","Demo gene"
"ENSG00000151","Gene151","Demo gene"
"ENSG00000152","Gene152","Demo gene"
"ENSG00000153","Gene153","Demo gene"
"ENSG00000154","Gene154","Demo gene"
"ENSG00000155","Gene155","Demo gene"
"ENSG00000156","Gene156","Demo gene"
"ENSG00000157","Gene157","Demo gene"
"ENSG00000158","Gene158","Demo gene"
"ENSG00000159","Gene159","Demo gene"
"ENSG00000160","Gene160","Demo gene"
"ENSG00000161","Gene161","Demo gene"
"ENSG00000162","Gene162","Demo gene"
"ENSG00000163","Gene163","Demo gene"
"ENSG00000164","Gene164","Demo gene"
"ENSG00000165","Gene165","Demo gene"
"ENSG00000166","Gene166","Demo gene"
"ENSG00000167","Gene167","Demo gene"
"ENSG00000168","Gene168","Demo gene"
"ENSG00000169","Gene169","Demo gene"
"ENSG00000170","Gene170","Demo gene"
"ENSG00000171","Gene171","Demo gene"
"ENSG00000172","Gene172","Demo gene"
"ENSG00000173","Gene173","Demo gene"
"ENSG00000174","Gene174","Demo gene"
"ENSG00000175","Gene175","Demo gene"
"ENSG00000176","Gene176","Demo gene"
"ENSG00000177","Gene177","Demo gene"
"ENSG00000178","Gene178","Demo gene"
"ENSG00000179","Gene179","Demo gene"
"ENSG00000180","Gene180","Demo gene"
"ENSG00000181","Gene181","Demo gene"
"ENSG00000182","Gene182","Demo gene"
"ENSG00000183","Gene183","Demo gene"
"ENSG00000184","Gene184","Demo gene"
"ENSG00000185","Gene185","Demo gene"
"ENSG00000186","Gene186","Demo gene"
"ENSG00000187","Gene187","Demo gene"
"ENSG00000188","Gene188","Demo gene"
"ENSG00000189","Gene189","Demo gene"
"ENSG00000190","Gene190","Demo gene"
"ENSG00000191","Gene191","Demo gene"
"ENSG00000192","Gene192","Demo gene"
"ENSG00000193","Gene193","Demo gene"
"ENSG00000194","Gene194","Demo gene"
"ENSG00000195","Gene195","Demo gene"
"ENSG00000196","Gene196","Demo gene"
"ENSG00000197","Gene197","Demo gene"
"ENSG00000198","Gene198","Demo gene"
"ENSG00000199","Gene199","Demo gene"
"ENSG00000200","Gene200","Demo gene"
"ENSG00000201","Gene201","Demo gene"
"ENSG00000202","Gene202","Demo gene"
"ENSG00000203","Gene203","Demo gene"
"ENSG00000204","Gene204","Demo gene"
"ENSG00000205","Gene205","Demo gene"
"ENSG00000206","Gene206","Demo gene"
"ENSG00000207","Gene207","Demo gene"
"ENSG00000208","Gene208","Demo gene"
"ENSG00000209","Gene209","Demo gene"
"ENSG00000210","Gene210","Demo gene"
"ENSG00000211","Gene211","Demo gene"
"ENSG00000212","Gene212","Demo gene"
"ENSG00000213","Gene213","Demo gene"
"ENSG00000214","Gene214","Demo gene"
"ENSG00000215","Gene215","Demo gene"
"ENSG00000216","Gene216","Demo gene"
"ENSG00000217","Gene217","Demo gene"
"ENSG00000218","Gene218","Demo gene"
"ENSG00000219","Gene219","Demo gene"
"ENSG00000220","Gene220","Demo gene"
"ENSG00000221","Gene221","Demo gene"
"ENSG00000222","Gene222","Demo gene"
"ENSG00000223","Gene223","Demo gene"
"ENSG00000224","Gene224","Demo gene"
"ENSG00000225","Gene225","Demo gene"
"ENSG00000226","Gene226","Demo gene"
"ENSG00000227","Gene227","Demo gene"
"ENSG00000228","Gene228","Demo gene"
"ENSG00000229","Gene229","Demo gene"
"ENSG00000230","Gene230","Demo gene"
"ENSG00000231","Gene231","Demo gene"
"ENSG00000232","Gene232","Demo gene"
"ENSG00000233","Gene233","Demo gene"
"ENSG00000234","Gene234","Demo gene"
"ENSG00000235","Gene235","Demo gene"
"ENSG00000236","Gene236","Demo gene"
"ENSG00000237","Gene237","Demo gene"
"ENSG00000238","Gene238","Demo gene"
"ENSG00000239","Gene239","Demo gene"
"ENSG00000240","Gene240","Demo gene"
"ENSG00000241","Gene241","Demo gene"
"ENSG00000242","Gene242","Demo gene"
"ENSG00000243","Gene243","Demo gene"
"ENSG00000244","Gene244","Demo gene"
"ENSG00000245","Gene245","Demo gene"
"ENSG00000246","Gene246","Demo gene"
"ENSG00000247","Gene247","Demo gene"
"ENSG00000248","Gene248","Demo gene"
"ENSG00000249","Gene249","Demo gene"
"ENSG00000250","Gene250","Demo gene"
"ENSG00000251","Gene251","Demo gene"
"ENSG00000252","Gene252","Demo gene"
"ENSG00000253","Gene253","Demo gene"
"ENSG00000254","Gene254","Demo gene"
"ENSG00000255","Gene255","Demo gene"
"ENSG00000256","Gene256","Demo gene"
"ENSG00000257","Gene257","Demo gene"
"ENSG00000258","Gene258","Demo gene"
"ENSG00000259","Gene259","Demo gene"
"ENSG00000260","Gene260","Demo gene"
"ENSG00000261","Gene261","Demo gene"
"ENSG00000262","Gene262","Demo gene"
"ENSG00000263","Gene263","Demo gene"
"ENSG00000264","Gene264","Demo gene"
"ENSG00000265","Gene265","Demo gene"
"ENSG00000266","Gene266","Demo gene"
"ENSG00000267","Gene267","Demo gene"
"ENSG00000268","Gene268","Demo gene"
"ENSG00000269","Gene269","Demo gene"
"ENSG00000270","Gene270","Demo gene"
"ENSG00000271","Gene271","Demo gene"
"ENSG00000272","Gene272","Demo gene"
"ENSG00000273","Gene273","Demo gene"
"ENSG00000274","Gene274","Demo gene"
"ENSG00000275","Gene275","Demo gene"
"ENSG00000276","Gene276","Demo gene"
"ENSG00000277","Gene277","Demo gene"
"ENSG00000278","Gene278","Demo gene"
"ENSG00000279","Gene279","Demo gene"
"ENSG00000280","Gene280","Demo gene"
"ENSG00000281","Gene281","Demo gene"
"ENSG00000282","Gene282","Demo gene"
"ENSG00000283","Gene283","Demo gene"
"ENSG00000284","Gene284","Demo gene"
"ENSG00000285","Gene285","Demo gene"
"ENSG00000286","Gene286","Demo gene"
"ENSG00000287","Gene287","Demo gene"
"ENSG00000288","Gene288","Demo gene"
"ENSG00000289","Gene289","Demo gene"
"ENSG00000290","Gene290","Demo gene"
"ENSG00000291","Gene291","Demo gene"
"ENSG00000292","Gene292","Demo gene"
"ENSG00000293","Gene293","Demo gene"
"ENSG00000294","Gene294","Demo gene"
"ENSG00000295","Gene295","Demo gene"
"ENSG00000296","Gene296","Demo gene"
"ENSG00000297","Gene297","Demo gene"
"ENSG00000298","Gene298","Demo gene"
"ENSG00000299","Gene299","Demo gene"
"ENSG00000300","Gene300","Demo gene"
"ENSG00000301","Gene301","Demo gene"
"ENSG00000302","Gene302","Demo gene"
"ENSG00000303","Gene303","Demo gene"
"ENSG00000304","Gene304","Demo gene"
"ENSG00000305","Gene305","Demo gene"
"ENSG00000306","Gene306","Demo gene"
"ENSG00000307","Gene307","Demo gene"
"ENSG00000308","Gene308","Demo gene"
"ENSG00000309","Gene309","Demo gene"
"ENSG00000310","Gene310","Demo gene"
"ENSG00000311","Gene311","Demo gene"
"ENSG00000312","Gene312","Demo gene"
"ENSG00000313","Gene313","Demo gene"
"ENSG00000314","Gene314","Demo gene"
"ENSG00000315","Gene315","Demo gene"
"ENSG00000316","Gene316","Demo gene"
"ENSG00000317","Gene317","Demo gene"
"ENSG00000318","Gene318","Demo gene"
"ENSG00000319","Gene319","Demo gene"
"ENSG00000320","Gene320","Demo gene"
"ENSG00000321","Gene321","Demo gene"
"ENSG00000322","Gene322","Demo gene"
"ENSG00000323","Gene323","Demo gene"
"ENSG00000324","Gene324","Demo gene"
"ENSG00000325","Gene325","Demo gene"
"ENSG00000326","Gene326","Demo gene"
"ENSG00000327","Gene327","Demo gene"
"ENSG00000328","Gene328","Demo gene"
"ENSG00000329","Gene329","Demo gene"
"ENSG00000330","Gene330","Demo gene"
"ENSG00000331","Gene331","Demo gene"
"ENSG00000332","Gene332","Demo gene"
"ENSG00000333","Gene333","Demo gene"
"ENSG00000334","Gene334","Demo gene"
"ENSG00000335","Gene335","Demo gene"
"ENSG00000336","Gene336","Demo gene"
"ENSG00000337","Gene337","Demo gene"
"ENSG00000338","Gene338","Demo gene"
"ENSG00000339","Gene339","Demo gene"
"ENSG00000340","Gene340","Demo gene"
"ENSG00000341","Gene341","Demo gene"
"ENSG00000342","Gene342","Demo gene"
"ENSG00000343","Gene343","Demo gene"
"ENSG00000344","Gene344","Demo gene"
"ENSG00000345","Gene345","Demo gene"
"ENSG00000346","Gene346","Demo gene"
"ENSG00000347","Gene347","Demo gene"
"ENSG00000348","Gene348","Demo gene"
"ENSG00000349","Gene349","Demo gene"
"ENSG00000350","Gene350","Demo gene"
"ENSG00000351","Gene351","Demo gene"
"ENSG00000352","Gene352","Demo gene"
"ENSG00000353","Gene353","Demo gene"
"ENSG00000354","Gene354","Demo gene"
"ENSG00000355","Gene355","Demo gene"
"ENSG00000356","Gene356","Demo gene"
"ENSG00000357","Gene357","Demo gene"
"ENSG00000358","Gene358","Demo gene"
"ENSG00000359","Gene359","Demo gene"
"ENSG00000360","Gene360","Demo gene"
"ENSG00000361","Gene361","Demo gene"
"ENSG00000362","Gene362","Demo gene"
"ENSG00000363","Gene363","Demo gene"
"ENSG00000364","Gene364","Demo gene"
"ENSG00000365","Gene365","Demo gene"
"ENSG00000366","Gene366","Demo gene"
"ENSG00000367","Gene367","Demo gene"
"ENSG00000368","Gene368","Demo gene"
"ENSG00000369","Gene369","Demo gene"
"ENSG00000370","Gene370","Demo gene"
"ENSG00000371","Gene371","Demo gene"
"ENSG00000372","Gene372","Demo gene"
"ENSG00000373","Gene373","Demo gene"
"ENSG00000374","Gene374","Demo gene"
"ENSG00000375","Gene375","Demo gene"
"ENSG00000376","Gene376","Demo gene"
"ENSG00000377","Gene377","Demo gene"
"ENSG00000378","Gene378","Demo gene"
"ENSG00000379","Gene379","Demo gene"
"ENSG00000380","Gene380","Demo gene"
"ENSG00000381","Gene381","Demo gene"
"ENSG00000382","Gene382","Demo gene"
"ENSG00000383","Gene383","Demo gene"
"ENSG00000384","Gene384","Demo gene"
"ENSG00000385","Gene385","Demo gene"
"ENSG00000386","Gene386","Demo gene"
"ENSG00000387","Gene387","Demo gene"
"ENSG00000388","Gene388","Demo gene"
"ENSG00000389","Gene389","Demo gene"
"ENSG00000390","Gene390","Demo gene"
"ENSG00000391","Gene391","Demo gene"
"ENSG00000392","Gene392","Demo gene"
"ENSG00000393","Gene393","Demo gene"
"ENSG00000394","Gene394","Demo gene"
"ENSG00000395","Gene395","Demo gene"
"ENSG00000396","Gene396","Demo gene"
"ENSG00000397","Gene397","Demo gene"
"ENSG00000398","Gene398","Demo gene"
"ENSG00000399","Gene399","Demo gene"
"ENSG00000400","Gene400","Demo gene"
"ENSG00000401","Gene401","Demo gene"
"ENSG00000402","Gene402","Demo gene"
"ENSG00000403","Gene403","Demo gene"
"ENSG00000404","Gene404","Demo gene"
"ENSG00000405","Gene405","Demo gene"
"ENSG00000406","Gene406","Demo gene"
"ENSG00000407","Gene407","Demo gene"
"ENSG00000408","Gene408","Demo gene"
"ENSG00000409","Gene409","Demo gene"
"ENSG00000410","Gene410","Demo gene"
"ENSG00000411","Gene411","Demo gene"
"ENSG00000412","Gene412","Demo gene"
"ENSG00000413","Gene413","Demo gene"
"ENSG00000414","Gene414","Demo gene"
"ENSG00000415","Gene415","Demo gene"
"ENSG00000416","Gene416","Demo gene"
"ENSG00000417","Gene417","Demo gene"
"ENSG00000418","Gene418","Demo gene"
"ENSG00000419","Gene419","Demo gene"
"ENSG00000420","Gene420","Demo gene"
"ENSG00000421","Gene421","Demo gene"
"ENSG00000422","Gene422","Demo gene"
"ENSG00000423","Gene423","Demo gene"
"ENSG00000424","Gene424","Demo gene"
"ENSG00000425","Gene425","Demo gene"
"ENSG00000426","Gene426","Demo gene"
"ENSG00000427","Gene427","Demo gene"
"ENSG00000428","Gene428","Demo gene"
"ENSG00000429","Gene429","Demo gene"
"ENSG00000430","Gene430","Demo gene"
"ENSG00000431","Gene431","Demo gene"
"ENSG00000432","Gene432","Demo gene"
"ENSG00000433","Gene433","Demo gene"
"ENSG00000434","Gene434","Demo gene"
"ENSG00000435","Gene435","Demo gene"
"ENSG00000436","Gene436","Demo gene"
"ENSG00000437","Gene437","Demo gene"
"ENSG00000438","Gene438","Demo gene"
"ENSG00000439","Gene439","Demo gene"
"ENSG00000440","Gene440","Demo gene"
"ENSG00000441","Gene441","Demo gene"
"ENSG00000442","Gene442","Demo gene"
"ENSG00000443","Gene443","Demo gene"
"ENSG00000444","Gene444","Demo gene"
"ENSG00000445","Gene445","Demo gene"
"ENSG00000446","Gene446","Demo gene"
"ENSG00000447","Gene447","Demo gene"
"ENSG00000448","Gene448","Demo gene"
"ENSG00000449","Gene449","Demo gene"
"ENSG00000450","Gene450","Demo gene"
"ENSG00000451","Gene451","Demo gene"
"ENSG00000452","Gene452","Demo gene"
"ENSG00000453","Gene453","Demo gene"
"ENSG00000454","Gene454","Demo gene"
"ENSG00000455","Gene455","Demo gene"
"ENSG00000456","Gene456","Demo gene"
"ENSG00000457","Gene457","Demo gene"
"ENSG00000458","Gene458","Demo gene"
"ENSG00000459","Gene459","Demo gene"
"ENSG00000460","Gene460","Demo gene"
"ENSG00000461","Gene461","Demo gene"
"ENSG00000462","Gene462","Demo gene"
"ENSG00000463","Gene463","Demo gene"
"ENSG00000464","Gene464","Demo gene"
"ENSG00000465","Gene465","Demo gene"
"ENSG00000466","Gene466","Demo gene"
"ENSG00000467","Gene467","Demo gene"
"ENSG00000468","Gene468","Demo gene"
"ENSG00000469","Gene469","Demo gene"
"ENSG00000470","Gene470","Demo gene"
"ENSG00000471","Gene471","Demo gene"
"ENSG00000472","Gene472","Demo gene"
"ENSG00000473","Gene473","Demo gene"
"ENSG00000474","Gene474","Demo gene"
"ENSG00000475","Gene475","Demo gene"
"ENSG00000476","Gene476","Demo gene"
"ENSG00000477","Gene477","Demo gene"
"ENSG00000478","Gene478","Demo gene"
"ENSG00000479","Gene479","Demo gene"
"ENSG00000480","Gene480","Demo gene"
"ENSG00000481","Gene481","Demo gene"
"ENSG00000482","Gene482","Demo gene"
"ENSG00000483","Gene483","Demo gene"
"ENSG00000484","Gene484","Demo gene"
"ENSG00000485","Gene485","Demo gene"
"ENSG00000486","Gene486","Demo gene"
"ENSG00000487","Gene487","Demo gene"
"ENSG00000488","Gene488","Demo gene"
"ENSG00000489","Gene489","Demo gene"
"ENSG00000490","Gene490","Demo gene"
"ENSG00000491","Gene491","Demo gene"
"ENSG00000492","Gene492","Demo gene"
"ENSG00000493","Gene493","Demo gene"
"ENSG00000494","Gene494","Demo gene"
"ENSG00000495","Gene495","Demo gene"
"ENSG00000496","Gene496","Demo gene"
"ENSG00000497","Gene497","Demo gene"
"ENSG00000498","Gene498","Demo gene"
"ENSG00000499","Gene499","Demo gene"
"ENSG00000500","Gene500","Demo gene"
