"GeneID","WT_1","WT_2","WT_3","TR_1","TR_2","TR_3","KO_1","RE_1"
"ENSG00000179",137,98,121,276,72,209,150,46
"ENSG00000180",393,351,417,696,240,504,755,146
"ENSG00000181",174,174,275,345,131,230,246,67
"ENSG00000182",89,90,102,135,54,193,112,34
"ENSG00000183",430,528,556,887,192,532,370,195
"ENSG00000184",439,490,513,1341,337,2224,509,166
"ENSG00000185",265,357,438,644,269,1228,363,184
"ENSG00000186",281,485,455,825,238,839,280,127
"ENSG00000187",203,373,440,820,202,1237,651,186
"ENSG00000188",207,353,403,731,136,565,344,88
"ENSG00000189",563,562,751,850,234,1257,742,153
"ENSG00000190",213,216,140,452,103,241,186,63
"ENSG00000191",442,901,1010,1293,230,1565,775,372
"ENSG00000192",230,153,116,187,87,362,175,42
"ENSG00000193",716,393,383,642,127,642,448,115
"ENSG00000194",179,157,209,413,127,367,314,95
"ENSG00000195",204,188,153,311,99,334,186,84
"ENSG00000196",334,396,410,494,199,940,666,98
"ENSG00000197",134,205,169,320,88,231,246,106
"ENSG00000198",216,207,153,231,92,433,189,79
"ENSG00000199",158,312,204,444,182,410,279,122
"ENSG00000200",162,468,207,532,158,872,413,118
"ENSG00000201",242,389,483,568,168,823,436,146
"ENSG00000202",473,210,395,398,177,1354,386,98
"ENSG00000203",251,318,338,658,201,1269,327,146
"ENSG00000204",81,74,112,190,42,393,213,49
"ENSG00000205",130,208,179,246,63,435,285,78
"ENSG00000206",276,248,242,436,163,700,394,152
"ENSG00000207",178,110,129,472,139,277,247,44
"ENSG00000208",179,322,189,559,132,802,419,104
"ENSG00000209",248,131,200,538,199,625,208,117
"ENSG00000210",399,484,306,1078,157,1164,458,164
"ENSG00000211",260,364,324,631,108,1225,451,162
"ENSG00000212",323,282,286,672,192,310,677,163
"ENSG00000213",285,221,175,453,131,456,346,104
"ENSG00000214",77,197,75,229,68,112,168,26
"ENSG00000215",264,388,295,561,175,590,382,127
"ENSG00000216",286,309,214,542,156,781,332,98
"ENSG00000217",178,200,187,353,65,322,190,61
"ENSG00000218",473,226,343,1001,346,679,610,262
"ENSG00000219",606,499,693,793,201,900,636,217
"ENSG00000220",144,387,178,271,108,331,162,84
"ENSG00000221",370,624,587,796,262,1048,576,198
"ENSG00000222",690,703,522,1813,344,1318,880,343
"ENSG00000223",453,372,290,556,316,713,344,167
"ENSG00000224",468,660,445,1066,265,818,563,173
"ENSG00000225",288,265,362,513,157,612,625,165
"ENSG00000226",102,108,114,338,107,435,151,71
"ENSG00000227",595,788,662,1058,357,1787,793,286
"ENSG00000228",448,548,770,845,436,1283,640,236
"ENSG00000229",285,219,536,335,136,562,387,117
"ENSG00000230",142,202,182,369,105,250,183,91
"ENSG00000231",388,544,353,716,399,637,390,175
"ENSG00000232",189,224,91,523,115,465,616,36
"ENSG00000233",199,148,130,323,131,441,171,89
"ENSG00000234",435,643,516,930,146,1069,583,135
"ENSG00000235",298,219,186,345,119,411,403,118
"ENSG00000236",225,381,276,795,166,1113,434,153
"ENSG00000237",113,149,131,147,39,173,193,43
"ENSG00000238",152,148,419,715,174,391,344,172
"ENSG00000239",145,301,174,248,108,523,332,129
"ENSG00000240",476,491,664,1008,453,1225,817,294
"ENSG00000241",107,306,175,386,94,514,192,66
"ENSG00000242",773,872,537,1090,275,1145,584,277
"ENSG00000243",268,308,218,399,138,538,246,104
"ENSG00000244",370,282,361,691,209,785,600,94
"ENSG00000245",493,198,225,687,225,985,584,90
"ENSG00000246",260,479,454,688,204,790,487,187
"ENSG00000247",690,322,327,819,295,791,894,135
"ENSG00000248",533,552,421,516,153,984,490,208
"ENSG00000249",161,95,109,253,63,314,193,49
"ENSG00000250",107,252,265,441,152,514,424,83
"ENSG00000251",239,146,251,513,122,857,392,115
"ENSG00000252",270,151,390,751,423,622,610,179
"ENSG00000253",204,378,361,868,207,409,827,120
"ENSG00000254",264,185,272,470,75,783,133,94
"ENSG00000255",283,519,399,599,337,1096,507,130
"ENSG00000256",244,295,327,506,156,647,611,111
"ENSG00000257",258,241,219,580,220,959,325,93
"ENSG00000258",829,602,634,1307,521,1852,861,453
"ENSG00000259",193,229,395,839,166,766,458,173
"ENSG00000260",249,430,438,799,222,1080,533,353
"ENSG00000261",469,337,515,783,130,454,435,144
"ENSG00000262",186,305,324,569,313,479,387,95
"ENSG00000263",201,199,426,185,176,380,443,101
"ENSG00000264",204,143,246,829,143,557,392,155
"ENSG00000265",887,658,877,1311,690,1829,1332,219
"ENSG00000266",317,525,482,937,202,640,674,164
"ENSG00000267",113,100,168,455,66,292,306,61
"ENSG00000268",304,320,272,485,194,529,228,71
"ENSG00000269",443,297,111,270,160,587,291,110
"ENSG00000270",315,259,422,531,234,438,544,120
"ENSG00000271",290,108,182,495,97,192,244,76
"ENSG00000272",246,305,143,193,91,477,334,78
"ENSG00000273",216,174,207,389,256,489,287,133
"ENSG00000274",226,270,241,435,305,444,324,124
"ENSG00000275",235,387,161,627,111,658,321,156
"ENSG00000276",348,244,248,352,326,416,439,128
"ENSG00000277",129,65,182,129,55,172,143,36
"ENSG00000278",190,228,202,382,117,462,162,62
"ENSG00000279",434,315,213,498,163,293,358,113
"ENSG00000280",87,147,114,219,80,220,91,46
"ENSG00000281",324,365,500,720,219,828,460,149
"ENSG00000282",761,537,483,683,464,1373,714,185
"ENSG00000283",186,234,273,282,184,394,255,101
"ENSG00000284",237,246,143,471,228,850,534,99
"ENSG00000285",309,214,178,328,165,497,358,86
"ENSG00000286",138,172,293,339,105,553,322,92
"ENSG00000287",407,302,364,422,109,445,244,84
"ENSG00000288",303,182,268,285,92,512,216,98
"ENSG00000289",331,236,273,334,135,424,382,69
"ENSG00000290",351,438,228,477,284,555,375,147
"ENSG00000291",170,237,219,120,105,402,193,70
"ENSG00000292",153,164,159,261,93,219,232,51
"ENSG00000293",120,208,263,391,63,495,223,40
"ENSG00000294",127,140,90,376,111,331,180,47
"ENSG00000295",226,253,318,499,119,316,449,92
"ENSG00000296",176,198,97,425,84,629,259,71
"ENSG00000297",398,329,404,473,263,480,382,134
"ENSG00000298",41,94,82,112,47,93,84,33
"ENSG00000299",399,269,337,512,147,354,483,138
"ENSG00000300",677,1106,779,1155,570,1586,916,190
"ENSG00000301",418,253,338,451,318,819,264,165
"ENSG00000302",166,422,358,592,128,657,467,83
"ENSG00000303",251,425,418,405,144,1064,655,147
"ENSG00000304",284,369,211,806,348,1020,336,262
"ENSG00000305",296,234,237,456,238,820,365,68
"ENSG00000306",403,458,248,809,322,835,502,100
"ENSG00000307",504,269,485,655,123,875,528,160
"ENSG00000308",328,473,417,569,246,821,839,195
"ENSG00000309",629,200,394,417,253,790,734,145
"ENSG00000310",213,116,200,397,136,308,243,67
"ENSG00000311",203,349,239,354,175,431,211,76
"ENSG00000312",429,474,486,822,227,1197,684,205
"ENSG00000313",485,907,887,865,301,1150,368,294
"ENSG00000314",275,379,350,592,129,419,346,90
"ENSG00000315",249,225,170,393,174,369,354,35
"ENSG00000316",155,114,137,340,107,257,107,47
"ENSG00000317",220,321,215,275,161,650,259,172
"ENSG00000318",223,295,172,579,88,351,226,33
"ENSG00000319",191,106,74,273,61,297,126,55
"ENSG00000320",280,220,151,546,114,497,228,142
"ENSG00000321",126,181,178,224,52,284,123,46
"ENSG00000322",213,337,231,534,104,302,178,118
"ENSG00000323",540,633,607,661,534,1303,1001,233
"ENSG00000324",644,303,314,1055,279,1233,592,126
"ENSG00000325",301,256,304,497,83,931,251,129
"ENSG00000326",145,129,225,492,212,406,191,98
"ENSG00000327",284,565,244,423,137,622,291,111
"ENSG00000328",401,237,381,624,183,796,373,55
"ENSG00000329",140,106,180,410,116,210,184,69
"ENSG00000330",219,164,370,540,142,690,332,126
"ENSG00000331",469,139,264,447,244,521,382,78
"ENSG00000332",590,282,271,504,308,866,560,129
"ENSG00000333",336,298,381,690,207,692,456,106
"ENSG00000334",303,206,166,261,176,493,235,77
"ENSG00000335",534,734,454,707,332,998,992,91
"ENSG00000336",233,253,172,352,185,369,258,90
"ENSG00000337",437,324,408,1303,378,777,482,150
"ENSG00000338",267,468,432,520,228,954,240,109
"ENSG00000339",93,183,153,256,126,193,182,57
"ENSG00000340",717,746,573,861,233,461,720,264
"ENSG00000341",157,228,248,323,146,451,285,79
"ENSG00000342",99,98,154,233,67,287,260,63
"ENSG00000343",175,145,167,365,136,445,401,107
"ENSG00000344",290,496,323,443,133,951,522,180
"ENSG00000345",290,414,424,938,214,1229,576,130
"ENSG00000346",364,141,316,592,174,630,237,133
"ENSG00000347",180,184,183,399,110,404,282,81
"ENSG00000348",491,297,493,765,282,1313,425,88
"ENSG00000349",166,232,157,680,97,932,324,113
"ENSG00000350",540,649,385,918,235,1162,827,340
"ENSG00000351",268,55,262,722,176,455,394,135
"ENSG00000352",645,835,653,1235,577,1950,502,202
"ENSG00000353",167,283,274,697,187,388,346,163
"ENSG00000354",282,227,280,499,220,845,414,57
"ENSG00000355",347,647,643,965,255,654,305,136
"ENSG00000356",192,188,230,438,166,498,334,118
"ENSG00000357",339,466,436,493,193,735,478,45
"ENSG00000358",221,145,237,232,65,715,199,55
"ENSG00000359",105,196,134,266,42,306,297,53
"ENSG00000360",392,295,213,593,279,397,299,117
"ENSG00000361",230,226,206,307,117,647,246,68
"ENSG00000362",403,488,427,665,168,526,402,151
"ENSG00000363",454,309,325,508,158,595,210,143
"ENSG00000364",180,200,130,396,115,694,261,143
"ENSG00000365",377,649,679,668,229,1097,570,201
"ENSG00000366",160,264,194,332,85,643,296,48
"ENSG00000367",272,365,329,743,195,803,602,120
"ENSG00000368",396,287,339,1158,258,1069,488,152
"ENSG00000369",398,662,494,1032,251,1092,850,117
"ENSG00000370",325,275,235,557,187,483,316,96
"ENSG00000371",214,411,495,724,224,976,659,212
"ENSG00000372",153,247,270,653,177,636,353,112
"ENSG00000373",228,159,201,264,267,931,429,100
"ENSG00000374",731,299,617,1224,200,968,394,117
"ENSG00000375",263,291,226,575,208,448,441,130
"ENSG00000376",304,121,239,546,155,471,269,58
"ENSG00000377",812,672,684,898,293,2043,817,188
"ENSG00000378",369,351,276,863,236,694,311,119
"ENSG00000379",152,163,162,340,109,485,347,75
"ENSG00000380",319,344,186,710,163,649,354,68
"ENSG00000381",658,399,464,567,87,952,508,104
"ENSG00000382",139,262,260,444,124,519,166,51
"ENSG00000383",400,176,172,360,104,599,317,87
"ENSG00000384",174,318,241,314,100,530,320,120
"ENSG00000385",243,232,115,412,120,554,196,80
"ENSG00000386",296,207,168,346,231,690,220,81
"ENSG00000387",333,173,227,514,166,657,475,95
"ENSG00000388",452,286,368,694,293,749,904,239
"ENSG00000389",286,246,195,310,199,758,521,92
"ENSG00000390",414,173,224,533,157,1103,517,99
"ENSG00000391",306,372,265,723,163,896,645,173
"ENSG00000392",329,386,683,960,166,1366,818,263
"ENSG00000393",245,175,208,430,125,235,270,51
"ENSG00000394",301,189,324,377,260,835,241,102
"ENSG00000395",205,362,420,516,117,561,489,86
"ENSG00000396",239,551,276,422,194,628,546,155
"ENSG00000397",657,789,779,1428,468,1132,767,172
"ENSG00000398",331,325,310,696,169,1191,770,82
"ENSG00000399",138,324,240,457,211,488,363,128
"ENSG00000400",410,473,321,916,225,707,570,111
"ENSG00000401",412,304,633,778,265,567,587,110
"ENSG00000402",415,296,353,460,169,1127,363,172
"ENSG00000403",224,288,239,456,96,515,423,50
"ENSG00000404",428,592,373,1295,266,1412,620,172
"ENSG00000405",141,179,165,177,70,410,308,69
"ENSG00000406",206,200,151,292,165,519,165,107
"ENSG00000407",311,107,196,299,116,397,260,52
"ENSG00000408",390,414,289,433,158,485,639,218
"ENSG00000409",505,505,340,476,155,524,381,152
"ENSG00000410",163,248,153,291,72,540,446,94
"ENSG00000411",367,268,358,446,221,434,445,191
"ENSG00000412",404,544,521,1065,385,1136,683,328
"ENSG00000413",481,574,610,942,278,1776,409,81
"ENSG00000414",636,515,944,1601,361,1332,1152,330
"ENSG00000415",341,249,568,756,167,590,657,175
"ENSG00000416",338,365,181,288,353,602,313,125
"ENSG00000417",631,667,393,715,124,861,968,224
"ENSG00000418",303,170,450,657,132,642,331,67
"ENSG00000419",135,219,125,311,103,288,156,55
"ENSG00000420",158,163,159,253,85,502,184,54
"ENSG00000421",115,178,194,262,75,397,268,55
"ENSG00000422",392,509,277,660,212,1072,282,115
"ENSG00000423",113,162,205,369,85,293,124,40
"ENSG00000424",175,278,276,460,91,515,350,53
"ENSG00000425",320,288,567,727,267,769,760,168
"ENSG00000426",145,173,217,412,148,413,197,81
"ENSG00000427",298,173,365,549,149,639,405,157
"ENSG00000428",110,242,92,685,141,427,276,130
"ENSG00000429",235,248,291,494,157,584,342,123
"ENSG00000430",165,154,146,287,109,374,267,78
"ENSG00000431",150,170,208,468,96,657,253,60
"ENSG00000432",245,328,404,585,237,397,457,125
"ENSG00000433",481,373,468,691,145,590,275,113
"ENSG00000434",147,167,145,229,80,245,178,47
"ENSG00000435",437,502,461,746,192,684,823,188
"ENSG00000436",118,178,308,503,160,359,297,76
"ENSG00000437",334,230,226,315,329,649,397,119
"ENSG00000438",510,928,346,1045,404,1437,1382,194
"ENSG00000439",147,210,332,412,178,365,253,126
"ENSG00000440",348,253,220,378,229,560,389,125
"ENSG00000441",192,134,189,555,155,465,279,169
"ENSG00000442",208,121,259,425,106,455,268,136
"ENSG00000443",673,717,380,1404,451,1063,972,177
"ENSG00000444",166,148,211,260,138,453,205,108
"ENSG00000445",653,396,289,1067,146,1097,348,142
"ENSG00000446",483,210,291,642,160,501,456,103
"ENSG00000447",193,341,204,641,120,375,169,115
"ENSG00000448",187,391,330,596,139,634,549,130
"ENSG00000449",305,97,251,264,197,504,198,89
"ENSG00000450",276,237,141,305,83,302,294,67
"ENSG00000451",356,181,284,731,156,318,382,78
"ENSG00000452",382,519,414,843,215,366,886,162
"ENSG00000453",423,364,293,857,328,564,951,181
"ENSG00000454",310,319,232,709,214,746,265,113
"ENSG00000455",513,235,311,445,205,453,349,87
"ENSG00000456",302,133,308,421,88,485,335,92
"ENSG00000457",378,263,435,571,201,1027,254,180
"ENSG00000458",295,362,263,503,123,555,434,87
"ENSG00000459",302,394,483,663,257,1056,797,178
"ENSG00000460",235,532,446,537,126,722,365,225
"ENSG00000461",185,260,362,513,194,674,357,116
"ENSG00000462",157,116,90,232,89,377,172,39
"ENSG00000463",166,504,423,874,72,608,314,103
"ENSG00000464",419,473,569,820,173,719,574,159
"ENSG00000465",237,515,478,350,147,1206,515,183
"ENSG00000466",430,337,655,425,311,938,409,223
"ENSG00000467",289,209,286,371,162,521,345,110
"ENSG00000468",559,549,289,1166,475,542,649,297
"ENSG00000469",307,281,301,441,139,474,392,158
"ENSG00000470",428,493,403,756,126,638,494,99
"ENSG00000471",300,352,373,792,138,794,534,122
"ENSG00000472",183,241,243,302,83,492,306,80
"ENSG00000473",218,403,339,520,214,875,369,222
"ENSG00000474",267,278,267,440,291,639,709,139
"ENSG00000475",360,278,277,893,268,740,371,150
"ENSG00000476",393,242,229,527,191,511,287,68
"ENSG00000477",86,94,131,225,93,213,206,36
"ENSG00000478",131,198,135,192,47,320,182,69
"ENSG00000479",555,369,493,691,322,1737,456,199
"ENSG00000480",490,535,540,464,221,1061,933,197
"ENSG00000481",270,280,556,760,306,750,489,231
"ENSG00000482",320,435,408,880,273,881,454,131
"ENSG00000483",126,281,178,344,126,391,234,67
"ENSG00000484",273,312,224,486,104,327,396,92
"ENSG00000485",728,434,558,801,261,1697,573,232
"ENSG00000486",380,799,334,750,139,1239,560,141
"ENSG00000487",272,269,337,258,149,748,527,91
"ENSG00000488",193,201,93,255,61,187,118,70
"ENSG00000489",294,319,214,348,113,985,400,138
"ENSG00000490",502,369,345,433,178,547,419,99
"ENSG00000491",210,288,139,257,91,427,279,80
"ENSG00000492",329,127,166,400,73,270,408,53
"ENSG00000493",131,98,124,376,83,337,272,52
"ENSG00000494",434,569,669,851,256,648,951,139
"ENSG00000495",586,439,762,847,602,2863,859,308
"ENSG00000496",278,208,253,538,198,679,565,130
"ENSG00000497",201,197,330,519,183,749,378,82
"ENSG00000498",261,270,421,813,160,555,309,172
"ENSG00000499",115,71,87,160,52,116,89,36
"ENSG00000500",372,265,239,421,161,622,345,50
